node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
904	155871	protein	protein	CCNT1	tat
1025	155871	protein	protein	CDK9	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
1025	155871	protein	protein	CDK9	tat
1025	155871	protein	protein	CDK9	tat
1025	155871	protein	protein	CDK9	tat
1025	155871	protein	protein	CDK9	tat
2033	155871	protein	protein	EP300	tat
8850	155871	protein	protein	KAT2B	tat
8850	155871	protein	protein	KAT2B	tat
2033	155871	protein	protein	EP300	tat
8850	155871	protein	protein	KAT2B	tat
2033	155871	protein	protein	EP300	tat
8850	155871	protein	protein	KAT2B	tat
2033	155871	protein	protein	EP300	tat
2033	155871	protein	protein	EP300	tat
8850	155871	protein	protein	KAT2B	tat
2033	155871	protein	protein	EP300	tat
8850	155871	protein	protein	KAT2B	tat
2033	155871	protein	protein	EP300	tat
2033	155871	protein	protein	EP300	tat
8850	155871	protein	protein	KAT2B	tat
8850	155871	protein	protein	KAT2B	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
2033	155871	protein	protein	EP300	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
2033	155871	protein	protein	EP300	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
2033	155871	protein	protein	EP300	tat
2033	155871	protein	protein	EP300	tat
904	155871	protein	protein	CCNT1	tat
2033	155871	protein	protein	EP300	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
2033	155871	protein	protein	EP300	tat
2033	155871	protein	protein	EP300	tat
904	155807	protein	protein	CCNT1	vpr
2033	155807	protein	protein	EP300	vpr
2033	155807	protein	protein	EP300	vpr
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
6908	155871	protein	protein	TBP	tat
6908	155871	protein	protein	TBP	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
6908	155871	protein	protein	TBP	tat
6908	155871	protein	protein	TBP	tat
6908	155871	protein	protein	TBP	tat
6908	155871	protein	protein	TBP	tat
6908	155871	protein	protein	TBP	tat
6908	155871	protein	protein	TBP	tat
6908	155871	protein	protein	TBP	tat
904	155871	protein	protein	CCNT1	tat
6908	155871	protein	protein	TBP	tat
904	155871	protein	protein	CCNT1	tat
904	155871	protein	protein	CCNT1	tat
6908	155871	protein	protein	TBP	tat
904	155807	protein	protein	CCNT1	vpr
6908	155807	protein	protein	TBP	vpr
902	155871	protein	protein	CCNH	tat
902	155871	protein	protein	CCNH	tat
1022	155871	protein	protein	CDK7	tat
1022	155871	protein	protein	CDK7	tat
2068	155871	protein	protein	ERCC2	tat
2071	155871	protein	protein	ERCC3	tat
